Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,FrameType,CPUStartTime,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,MsPCLatency,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsVideoBusy,MsAnimationError,AnimationTime,MsFlipDelay,MsAllInputToPhotonLatency,MsClickToPhotonLatency,MsInstrumentedLatency,D3D12PsoCompileCount,MsD3D12PsoCompileTime,D3D12PsoCompileBusyPercent
Heaven.exe,12820,0x19284328,DXGI,1,0,0,Composed: Copy with GPU GDI,Application,5576.24009999999998,NA,7.23380000000000,6.93990000000000,4.63970000000000,6.33560000000000,24.96190000000000,NA,6.93790000000000,2.29820000000000,4.63970000000000,1.71000000000000,6.92380000000000,2.57460000000000,4.34920000000000,0.00000000000000,0.02330000000000,5576.24009999999998,NA,NA,NA,NA,0,0.00000000000000,0.00000000000000
Heaven.exe,12820,0x19284328,DXGI,1,0,0,Composed: Copy with GPU GDI,Application,5583.17799999999988,NA,7.10760000000000,6.94380000000000,4.64230000000000,6.36300000000000,24.79810000000000,NA,7.11020000000000,2.46790000000000,4.64230000000000,1.69590000000000,7.13500000000000,2.60330000000000,4.53170000000000,0.00000000000000,-0.00590000000000,5583.17799999999988,NA,NA,NA,NA,0,0.00000000000000,0.00000000000000
Heaven.exe,12820,0x19284328,DXGI,1,0,0,Composed: Copy with GPU GDI,Application,5590.28819999999996,NA,6.63770000000000,6.94670000000000,4.80270000000000,6.50470000000000,25.10710000000000,NA,6.79810000000000,1.99540000000000,4.80270000000000,1.72070000000000,6.77940000000000,2.56100000000000,4.21840000000000,0.00000000000000,0.16350000000000,5590.28819999999996,NA,NA,NA,NA,0,0.00000000000000,0.00000000000000
Heaven.exe,12820,0x19284328,DXGI,1,0,0,Composed: Copy with GPU GDI,Application,5597.08629999999994,NA,7.28180000000000,6.94580000000000,4.44330000000000,6.14160000000000,24.77110000000000,NA,6.92240000000000,2.47910000000000,4.44330000000000,1.70200000000000,6.91870000000000,2.57430000000000,4.34440000000000,0.00000000000000,-0.14770000000000,5597.08629999999994,NA,NA,NA,NA,0,0.00000000000000,0.00000000000000
Heaven.exe,12820,0x19284328,DXGI,1,0,0,Composed: Copy with GPU GDI,Application,5604.00870000000032,NA,7.25580000000000,6.94320000000000,4.16720000000000,5.89830000000000,24.45850000000000,NA,6.97970000000000,2.81250000000000,4.16720000000000,2.13610000000000,6.57470000000000,2.66610000000000,3.90860000000000,0.00000000000000,-0.02080000000000,5604.00870000000032,NA,NA,NA,NA,0,0.00000000000000,0.00000000000000
Heaven.exe,12820,0x19284328,DXGI,1,0,0,Composed: Copy with GPU GDI,Application,5610.98840000000018,NA,6.48720000000000,6.94510000000000,4.67030000000000,6.39570000000000,24.91640000000000,NA,6.99030000000000,2.32000000000000,4.67030000000000,1.73110000000000,6.98460000000000,2.55820000000000,4.42640000000000,0.00000000000000,0.03460000000000,5610.98840000000018,NA,NA,NA,NA,0,0.00000000000000,0.00000000000000
Heaven.exe,12820,0x19284328,DXGI,1,0,0,Composed: Copy with GPU GDI,Application,5617.97870000000057,NA,6.69910000000000,6.97300000000000,4.86600000000000,6.59110000000000,25.19030000000000,NA,6.89480000000000,2.02880000000000,4.86600000000000,1.72540000000000,6.89450000000000,2.60860000000000,4.28590000000000,0.00000000000000,0.01730000000000,5617.97870000000057,NA,NA,NA,NA,0,0.00000000000000,0.00000000000000
Heaven.exe,12820,0x19284328,DXGI,1,0,0,Composed: Copy with GPU GDI,Application,5624.87350000000060,NA,7.16790000000000,6.91940000000000,4.62910000000000,6.32710000000000,24.94180000000000,NA,6.93100000000000,2.30190000000000,4.62910000000000,1.72510000000000,6.90390000000000,2.55890000000000,4.34500000000000,0.00000000000000,-0.02460000000000,5624.87350000000060,NA,NA,NA,NA,0,0.00000000000000,0.00000000000000
Heaven.exe,12820,0x19284328,DXGI,1,0,0,Composed: Copy with GPU GDI,Application,5631.80450000000019,NA,7.15850000000000,6.93760000000000,4.42530000000000,6.11860000000000,24.72090000000000,NA,6.95470000000000,2.52940000000000,4.42530000000000,1.82200000000000,6.82600000000000,2.61270000000000,4.21330000000000,0.00000000000000,-0.00660000000000,5631.80450000000019,NA,NA,NA,NA,0,0.00000000000000,0.00000000000000
Heaven.exe,12820,0x19284328,DXGI,1,0,0,Composed: Copy with GPU GDI,Application,5638.75920000000042,NA,6.48540000000000,6.93480000000000,5.13410000000000,6.86030000000000,25.17030000000000,NA,7.19420000000000,2.06010000000000,5.13410000000000,1.69330000000000,7.22710000000000,2.55310000000000,4.67400000000000,0.00000000000000,0.01990000000000,5638.75920000000042,NA,NA,NA,NA,0,0.00000000000000,0.00000000000000
