Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,FrameType,CPUStartTime,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,MsPCLatency,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsVideoBusy,MsAnimationError,AnimationTime,MsFlipDelay,MsAllInputToPhotonLatency,MsClickToPhotonLatency,MsInstrumentedLatency,PsoCompileCount,MsPsoCompileTime,PsoCompileBusyPercent
3DMarkSteelNomad.exe,5756,0x1EC30998B90,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,13103.52210000000014,NA,33.46740000000000,33.44700000000000,0.24340000000000,0.52260000000000,0.64640000000000,NA,33.48320000000000,33.23980000000000,0.24340000000000,33.30110000000000,0.46130000000000,0.46130000000000,0.00000000000000,0.00000000000000,0.71140000000000,13103.52210000000014,NA,NA,NA,NA,0,0.00000000000000,0.00000000000000
3DMarkSteelNomad.exe,5756,0x1EC30998B90,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,13137.00530000000072,NA,33.71620000000000,33.72670000000000,0.19630000000000,0.52790000000000,0.65690000000000,NA,33.66910000000000,33.47280000000000,0.19630000000000,33.52730000000000,0.47340000000000,0.47340000000000,0.00000000000000,0.00000000000000,-0.24350000000000,13137.00530000000072,NA,NA,NA,NA,0,0.00000000000000,0.00000000000000
3DMarkSteelNomad.exe,5756,0x1EC30998B90,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,13170.67439999999988,NA,35.28840000000000,35.24620000000000,0.23590000000000,0.47390000000000,0.61470000000000,NA,35.32800000000000,35.09210000000000,0.23590000000000,35.09360000000000,0.47240000000000,0.47240000000000,0.00000000000000,0.00000000000000,-1.57710000000000,13170.67439999999988,NA,NA,NA,NA,0,0.00000000000000,0.00000000000000
3DMarkSteelNomad.exe,5756,0x1EC30998B90,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,13206.00240000000122,NA,33.75920000000000,33.81630000000000,0.19990000000000,0.51810000000000,0.67180000000000,NA,33.72320000000000,33.52330000000000,0.19990000000000,33.57590000000000,0.46550000000000,0.46550000000000,0.00000000000000,0.00000000000000,1.51170000000000,13206.00240000000122,NA,NA,NA,NA,0,0.00000000000000,0.00000000000000
3DMarkSteelNomad.exe,5756,0x1EC30998B90,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,13239.72559999999976,NA,33.57980000000000,33.55770000000000,0.22500000000000,0.51010000000000,0.64970000000000,NA,33.60490000000000,33.37990000000000,0.22500000000000,33.41040000000000,0.47960000000000,0.47960000000000,0.00000000000000,0.00000000000000,0.16549999999999,13239.72559999999976,NA,NA,NA,NA,0,0.00000000000000,0.00000000000000
3DMarkSteelNomad.exe,5756,0x1EC30998B90,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,13273.33050000000003,NA,33.64320000000000,33.64610000000000,0.22360000000000,0.52250000000000,0.65260000000000,NA,33.64180000000000,33.41820000000000,0.22360000000000,33.47010000000000,0.47060000000000,0.47060000000000,0.00000000000000,0.00000000000000,-0.04120000000000,13273.33050000000003,NA,NA,NA,NA,0,0.00000000000000,0.00000000000000
3DMarkSteelNomad.exe,5756,0x1EC30998B90,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,13306.97230000000127,NA,40.38890000000000,40.51250000000000,0.26700000000000,0.52950000000000,0.77620000000000,NA,40.43230000000001,40.16530000000000,0.26700000000000,40.20360000000000,0.49120000000000,0.49120000000000,0.00000000000000,0.00000000000000,-6.87070000000000,13306.97230000000127,NA,NA,NA,NA,0,0.00000000000000,0.00000000000000
3DMarkSteelNomad.exe,5756,0x1EC30998B90,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,13347.40459999999985,NA,33.87520000000000,33.78120000000000,0.24880000000000,0.54330000000000,0.68220000000000,NA,33.85700000000001,33.60820000000000,0.24880000000000,33.65820000000000,0.49330000000000,0.49330000000000,0.00000000000000,0.00000000000000,6.65110000000001,13347.40459999999985,NA,NA,NA,NA,0,0.00000000000000,0.00000000000000
3DMarkSteelNomad.exe,5756,0x1EC30998B90,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,13381.26159999999982,NA,35.14920000000000,35.49020000000000,0.25050000000000,0.55320000000000,1.02320000000000,NA,35.15090000000001,34.90040000000000,0.25050000000000,34.96510000000000,0.48850000000000,0.48850000000000,0.00000000000000,0.00000000000000,-1.63320000000000,13381.26159999999982,NA,NA,NA,NA,0,0.00000000000000,0.00000000000000
3DMarkSteelNomad.exe,5756,0x1EC30998B90,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,13416.41250000000036,NA,33.44250000000000,33.10240000000000,0.28010000000000,0.51230000000000,0.68310000000000,NA,33.47210000000000,33.19200000000000,0.28010000000000,33.26850000000000,0.43580000000000,0.43580000000000,0.00000000000000,0.00000000000000,2.04850000000000,13416.41250000000036,NA,NA,NA,NA,0,0.00000000000000,0.00000000000000
